id	code	country	Indicator	edits	gdpedits	population	editspopulation	citations	fsize	links
214	DOM	dominican republic	61163676804.5466	5345	11443157.4938	10403761	0.000513756515552405	428	3088770	8806
340	HND	honduras	18550026034.7589	4173	4445249.4691	8097688	0.00051533227755873	722	3315102	6948
600	PRY	paraguay	29009411737.9175	3511	8262435.6986	6802295	0.000516149329013223	192	2667817	6873
116	KHM	cambodia	15238689686.4362	8003	1904122.1650	15135169	0.000528768459737714	851	5165635	13715
288	GHA	ghana	48137027487.1795	13864	3472087.9607	25904598	0.000535194562756774	947	8538852	21475
716	ZWE	zimbabwe	13490000000	8025	1680996.8847352	14149648	0.000567151917842762	1994	7759641	18564
826	GBR	united kingdom	2678454886796.67	36671	73040137.62	64106779	0.00057202998765544	8628	35289924	107339
36	AUS	australia	1560372473125.21	13282	117480234.39	23129300	0.000574249977301518	2755	11101694	28276
788	TUN	tunisia	46993598818.2434	6373	7373858.2800	10886500	0.000585403940660451	1217	5287228	14404
203	CZE	czech republic	208796024645.834	6249	33412709.977	10514272	0.000594335014350019	348	3304578	9155
620	PRT	portugal	227323728006.703	6527	34828210.205	10457295	0.0006241575856854	647	4092352	13893
68	BOL	bolivia	30601157742.4023	6750	4533504.8507	10671200	0.0006325436689407	402	3681253	10308
784	ARE	united arab emirates	402340106795.685	5918	67985824.061	9346129	0.000633203329421197	556	3552603	8937
524	NPL	nepal	19294348174.0026	17845	1081218.7265	27797457	0.000641965198471213	1983	12359198	31019
144	LKA	sri lanka	67182015335.7602	13266	5064225.4889	20483000	0.000647659034321144	1869	11872045	31454
762	TJK	tajikistan	8508103455.51497	5429	1567158.49245	8207834	0.000661441252345016	569	3856874	11733
232	ERI	eritrea	3444097560.97561	4307	799651.16345	6333135	0.000680073928630923	275	2382397	6381
152	CHL	chile	277198774856.807	12066	22973543.416	17619708	0.000684801359931731	1430	7410887	19636
178	COG	republic of the congo	14085852120.4761	3058	4606230.2552	4447632	0.00068755688420265	141	1469208	3847
222	SLV	el salvador	24259100000	4535	5349305.40242558	6340454	0.000715248466434738	398	2716148	7133
418	LAO	laos	11242526454.037	4978	2258442.438	6769727	0.000735332458753507	410	2605137	6778
140	CAF	central african republic	1538175744.07775	3434	447925.37684	4616417	0.000743866942696035	557	2733055	6687
112	BLR	belarus	71709513654.3393	7538	9513068.9380	9466000	0.000796323684766533	996	4888728	12776
192	CUB	cuba		9070	0	11265629	0.000805103736329325	1614	7528766	21710
